"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.4","beta",0.4,1,0.5,551,552,1103,0.461627564648007,738.072098154947,577.463989085428,0.383173450028308,0.481900560880496,0.374118993274892
"beta_alpha_0.4","beta",0.4,2,0.5,551,552,1103,0.396104883643553,721.095575962726,578.161388171786,0.348522939851769,0.483803688303089,0.376247838273156
"beta_alpha_0.4","beta",0.4,3,0.5,551,552,1103,0.495406234524,636.789201905513,510.679610101085,0.465391191508209,0.481701581425349,0.379957909329662
"beta_alpha_0.4","beta",0.4,4,0.5,551,552,1103,0.480573523157043,712.024395317861,548.212335332615,0.434439338006987,0.489056976369958,0.37151097297915
"beta_alpha_0.4","beta",0.4,5,0.5,551,552,1103,0.435631719620518,755.534058961096,612.253117106164,0.362872382874831,0.518613652393071,0.369004366320129
"beta_alpha_0.4","beta",0.4,6,0.5,551,552,1103,0.467959218907018,692.554516226073,535.108221080679,0.379883241672428,0.527518473914843,0.365486868474045
"beta_alpha_0.4","beta",0.4,7,0.5,551,552,1103,0.342922793403932,784.607680255374,624.256926820918,0.306911662695641,0.476316924358918,0.370950862823081
"beta_alpha_0.4","beta",0.4,8,0.5,551,552,1103,0.434155720515496,675.190062267454,545.171841793262,0.420919645077134,0.513549461762635,0.376459533712538
"beta_alpha_0.4","beta",0.4,9,0.5,551,552,1103,0.394524906184066,717.395204489763,572.790093455835,0.339203736786749,0.473974251974594,0.371169640351256
"beta_alpha_0.4","beta",0.4,10,0.5,551,552,1103,0.399582001861423,737.413684931141,585.385370757198,0.340839266869541,0.502212993160494,0.367721435765043
"beta_alpha_0.4","beta",0.4,11,0.5,551,552,1103,0.532541010248874,656.508025587961,514.578526458786,0.480626338896881,0.492504820190679,0.368413125214504
"beta_alpha_0.4","beta",0.4,12,0.5,551,552,1103,0.459388331522767,714.235125576064,585.028889615906,0.379908783554152,0.503909445346915,0.362717216829238
"beta_alpha_0.4","beta",0.4,13,0.5,551,552,1103,0.465434183456309,757.924276486314,606.873506856343,0.356459887123672,0.497631797714232,0.370438057216275
"beta_alpha_0.4","beta",0.4,14,0.5,551,552,1103,0.504902572270031,688.612768619211,552.708687937139,0.411815212599691,0.485240427059137,0.360708170196729
"beta_alpha_0.4","beta",0.4,15,0.5,551,552,1103,0.40778262570331,699.393260695206,563.47652644722,0.363170780268916,0.49282859112645,0.370004071154716
"beta_alpha_0.4","beta",0.4,16,0.5,551,552,1103,0.463063539630899,667.73327109943,531.019866945429,0.440602426170247,0.494131103249261,0.373348324241918
